date,site,variable,values
2017-07-05T22:00:00Z,Baiona,sst,17.16332711
2017-07-05T22:00:00Z,Baiona,airtemp,20.17632446
2017-07-05T22:00:00Z,Baiona,chl,6.292616844
2017-07-05T22:00:00Z,Cangas,sst,17.21999389
2017-07-05T22:00:00Z,Cangas,airtemp,21.65862427
2017-07-05T22:00:00Z,Cangas,chl,0.69550705
2017-07-05T22:00:00Z,Bueu,sst,17.139994
2017-07-05T22:00:00Z,Bueu,airtemp,23.05889282
2017-07-05T22:00:00Z,Bueu,chl,1.784874678
2017-07-05T22:00:00Z,Camelle,sst,16.88777144
2017-07-05T22:00:00Z,Camelle,airtemp,20.69375
2017-07-05T22:00:00Z,Camelle,chl,2.038089752
2017-07-05T22:00:00Z,A Coruña,sst,17.03554933
2017-07-05T22:00:00Z,A Coruña,airtemp,20.84029541
2017-07-05T22:00:00Z,A Coruña,chl,6.351630211
2017-07-06T22:00:00Z,A Guarda,sst,16.54832683
2017-07-06T22:00:00Z,A Guarda,airtemp,20.6708313
2017-07-06T22:00:00Z,A Guarda,chl,2.715075016
2017-07-06T22:00:00Z,Baiona,sst,16.93554978
2017-07-06T22:00:00Z,Baiona,airtemp,20.1552063
2017-07-06T22:00:00Z,Baiona,chl,3.758134604
2017-07-06T22:00:00Z,Cangas,sst,17.07666067
2017-07-06T22:00:00Z,Cangas,airtemp,20.68047485
2017-07-06T22:00:00Z,Cangas,chl,0.720242262
2017-07-06T22:00:00Z,Bueu,sst,17.08888244
2017-07-06T22:00:00Z,Bueu,airtemp,21.80574951
2017-07-06T22:00:00Z,Bueu,chl,1.382921457
2017-07-06T22:00:00Z,Camelle,sst,16.83110511
2017-07-06T22:00:00Z,Camelle,airtemp,19.73549805
2017-07-06T22:00:00Z,Camelle,chl,1.796777964
2017-07-06T22:00:00Z,A Coruña,sst,16.95110544
2017-07-06T22:00:00Z,A Coruña,airtemp,19.8036438
2017-07-06T22:00:00Z,A Coruña,chl,2.984750032
2017-07-07T22:00:00Z,A Guarda,sst,16.62832733
2017-07-07T22:00:00Z,A Guarda,airtemp,23.21749268
2017-07-07T22:00:00Z,A Guarda,chl,2.163823605
2017-07-07T22:00:00Z,Baiona,sst,17.03554967
2017-07-07T22:00:00Z,Baiona,airtemp,22.83095703
2017-07-07T22:00:00Z,Baiona,chl,5.192903042
2017-07-07T22:00:00Z,Cangas,sst,17.19999411
2017-07-07T22:00:00Z,Cangas,airtemp,23.79763184
2017-07-07T22:00:00Z,Cangas,chl,1.854277968
2017-07-07T22:00:00Z,Bueu,sst,17.15443844
2017-07-07T22:00:00Z,Bueu,airtemp,24.68050537
2017-07-07T22:00:00Z,Bueu,chl,1.700380087
2017-07-07T22:00:00Z,Camelle,sst,16.80554922
2017-07-07T22:00:00Z,Camelle,airtemp,18.84237061
2017-07-07T22:00:00Z,Camelle,chl,2.916830063
2017-07-07T22:00:00Z,A Coruña,sst,17.06999389
2017-07-07T22:00:00Z,A Coruña,airtemp,20.37593994
2017-07-07T22:00:00Z,A Coruña,chl,2.115502834
2017-07-08T22:00:00Z,A Guarda,sst,16.81999333
2017-07-08T22:00:00Z,A Guarda,airtemp,19.65108643
2017-07-08T22:00:00Z,A Guarda,chl,1.312193513
2017-07-08T22:00:00Z,Baiona,sst,17.22443856
2017-07-08T22:00:00Z,Baiona,airtemp,19.09627686
2017-07-08T22:00:00Z,Baiona,chl,2.909701109
2017-07-08T22:00:00Z,Cangas,sst,17.40110478
2017-07-08T22:00:00Z,Cangas,airtemp,19.70354614
2017-07-08T22:00:00Z,Cangas,chl,0.770715714
2017-07-08T22:00:00Z,Bueu,sst,17.35554922
2017-07-08T22:00:00Z,Bueu,airtemp,21.15447388
2017-07-08T22:00:00Z,Bueu,chl,1.121799946
2017-07-08T22:00:00Z,Camelle,sst,16.939994
2017-07-08T22:00:00Z,Camelle,airtemp,19.83440552
2017-07-08T22:00:00Z,Camelle,chl,1.295437813
2017-07-08T22:00:00Z,A Coruña,sst,17.12443822
2017-07-08T22:00:00Z,A Coruña,airtemp,19.31276855
2017-07-08T22:00:00Z,A Coruña,chl,2.240029335
2017-07-09T22:00:00Z,A Guarda,sst,16.6133275
2017-07-09T22:00:00Z,A Guarda,airtemp,21.18703613
2017-07-09T22:00:00Z,A Guarda,chl,2.094654083
2017-07-09T22:00:00Z,Baiona,sst,17.11443844
2017-07-09T22:00:00Z,Baiona,airtemp,20.65395508
2017-07-09T22:00:00Z,Baiona,chl,2.917412281
2017-07-09T22:00:00Z,Cangas,sst,17.29999356
2017-07-09T22:00:00Z,Cangas,airtemp,21.56032715
2017-07-09T22:00:00Z,Cangas,chl,1.033780336
2017-07-09T22:00:00Z,Bueu,sst,17.21777144
2017-07-09T22:00:00Z,Bueu,airtemp,22.29845581
2017-07-09T22:00:00Z,Bueu,chl,1.099614263
2017-07-09T22:00:00Z,Camelle,sst,17.077772
2017-07-09T22:00:00Z,Camelle,airtemp,18.22063599
2017-07-09T22:00:00Z,Camelle,chl,1.22081852
2017-07-09T22:00:00Z,A Coruña,sst,17.33110478
2017-07-09T22:00:00Z,A Coruña,airtemp,18.2730957
2017-07-09T22:00:00Z,A Coruña,chl,2.226207733
2017-07-10T22:00:00Z,A Guarda,sst,16.54332667
2017-07-10T22:00:00Z,A Guarda,airtemp,20.51040039
2017-07-10T22:00:00Z,A Guarda,chl,3.460763454
2017-07-10T22:00:00Z,Baiona,sst,17.06221611
2017-07-10T22:00:00Z,Baiona,airtemp,19.87542114
2017-07-10T22:00:00Z,Baiona,chl,3.035958767
2017-07-10T22:00:00Z,Cangas,sst,17.23888278
2017-07-10T22:00:00Z,Cangas,airtemp,20.42839966
2017-07-10T22:00:00Z,Cangas,chl,1.211594343
2017-07-10T22:00:00Z,Bueu,sst,17.15888311
2017-07-10T22:00:00Z,Bueu,airtemp,21.45961914
2017-07-10T22:00:00Z,Bueu,chl,0.900846601
2017-07-10T22:00:00Z,Camelle,sst,17.09110544
2017-07-10T22:00:00Z,Camelle,airtemp,20.14678345
2017-07-10T22:00:00Z,Camelle,chl,1.064893723
2017-07-10T22:00:00Z,A Coruña,sst,17.287772
2017-07-10T22:00:00Z,A Coruña,airtemp,21.77199707
2017-07-10T22:00:00Z,A Coruña,chl,2.353357792
2017-07-11T22:00:00Z,A Guarda,sst,16.7433275
2017-07-11T22:00:00Z,A Guarda,airtemp,23.1541687
2017-07-11T22:00:00Z,A Guarda,chl,3.38969183
2017-07-11T22:00:00Z,Baiona,sst,17.23554956
2017-07-11T22:00:00Z,Baiona,airtemp,22.52520142
2017-07-11T22:00:00Z,Baiona,chl,3.381231546
2017-07-11T22:00:00Z,Cangas,sst,17.38110533
2017-07-11T22:00:00Z,Cangas,airtemp,23.22051392
2017-07-11T22:00:00Z,Cangas,chl,2.217281342
2017-07-11T22:00:00Z,Bueu,sst,17.25443856
2017-07-11T22:00:00Z,Bueu,airtemp,24.19082031
2017-07-11T22:00:00Z,Bueu,chl,1.549877167
2017-07-11T22:00:00Z,Camelle,sst,17.20666033
2017-07-11T22:00:00Z,Camelle,airtemp,19.48763428
2017-07-11T22:00:00Z,Camelle,chl,1.097650647
2017-07-11T22:00:00Z,A Coruña,sst,17.41443811
2017-07-11T22:00:00Z,A Coruña,airtemp,19.92363892
2017-07-11T22:00:00Z,A Coruña,chl,2.418035507
2017-07-12T22:00:00Z,A Guarda,sst,16.61999333
2017-07-12T22:00:00Z,A Guarda,airtemp,24.42843018
2017-07-12T22:00:00Z,A Guarda,chl,3.154937029
2017-07-12T22:00:00Z,Baiona,sst,17.13888267
2017-07-12T22:00:00Z,Baiona,airtemp,23.78798828
2017-07-12T22:00:00Z,Baiona,chl,3.828504562
2017-07-12T22:00:00Z,Cangas,sst,17.29554978
2017-07-12T22:00:00Z,Cangas,airtemp,24.55504761
2017-07-12T22:00:00Z,Cangas,chl,1.731276989
2017-07-12T22:00:00Z,Bueu,sst,17.15110489
2017-07-12T22:00:00Z,Bueu,airtemp,25.03991089
2017-07-12T22:00:00Z,Bueu,chl,2.298609257
2017-07-12T22:00:00Z,Camelle,sst,17.156661
2017-07-12T22:00:00Z,Camelle,airtemp,19.64925537
2017-07-12T22:00:00Z,Camelle,chl,0.729228139
2017-07-12T22:00:00Z,A Coruña,sst,17.53666044
2017-07-12T22:00:00Z,A Coruña,airtemp,20.28789673
2017-07-12T22:00:00Z,A Coruña,chl,2.922844887
2017-07-13T22:00:00Z,A Guarda,sst,16.47332717
2017-07-13T22:00:00Z,A Guarda,airtemp,25.64415894
2017-07-13T22:00:00Z,A Guarda,chl,3.648332119
2017-07-13T22:00:00Z,Baiona,sst,16.95221578
2017-07-13T22:00:00Z,Baiona,airtemp,25.17739258
2017-07-13T22:00:00Z,Baiona,chl,4.103744507
2017-07-13T22:00:00Z,Cangas,sst,17.08999411
2017-07-13T22:00:00Z,Cangas,airtemp,25.9939209
2017-07-13T22:00:00Z,Cangas,chl,1.291991472
2017-07-13T22:00:00Z,Bueu,sst,16.91110511
2017-07-13T22:00:00Z,Bueu,airtemp,26.53728638
2017-07-13T22:00:00Z,Bueu,chl,0.741060495
2017-07-13T22:00:00Z,Camelle,sst,16.89666022
2017-07-13T22:00:00Z,Camelle,airtemp,20.07622681
2017-07-13T22:00:00Z,Camelle,chl,0.646404624
2017-07-13T22:00:00Z,A Coruña,sst,17.28888289
2017-07-13T22:00:00Z,A Coruña,airtemp,21.43126831
2017-07-13T22:00:00Z,A Coruña,chl,2.831099749
2017-07-14T22:00:00Z,A Guarda,sst,16.6216605
2017-07-14T22:00:00Z,A Guarda,airtemp,27.37249146
2017-07-14T22:00:00Z,A Guarda,chl,3.369767427
2017-07-14T22:00:00Z,Baiona,sst,17.02666111
2017-07-14T22:00:00Z,Baiona,airtemp,27.04805908
2017-07-14T22:00:00Z,Baiona,chl,5.428277969
2017-07-14T22:00:00Z,Cangas,sst,17.13443878
2017-07-14T22:00:00Z,Cangas,airtemp,28.66906128
2017-07-14T22:00:00Z,Cangas,chl,1.449496508
